顧客名,商品名,注文数,注文金額
タフネ ミヨ,ne11279,3,3108
タフネ ミヨ,sg11451,2,55400
ヒマ ヌモミ,iv12852,1,18600
ヒマ ヌモミ,pg11925,3,3822
ヒマ ヌモミ,qj11626,3,77100
コウカ キナア,ow12940,1,7000
コウカ キナア,pc10955,2,1688
コウカ キナア,pe10516,1,721
コウカ キナア,sv12645,3,33600
コウカ キナア,vd11244,1,3400
コウカ キナア,yl10024,1,26900
ツツナモ ニカユ,jf12640,2,50800
ツツナモ ニカユ,kp11686,2,14000
ツツナモ ニカユ,mv10630,3,51000
ツツナモ ニカユ,vc12586,3,49500
ツツナモ ニカユ,ve11684,2,23000
ツツナモ ニカユ,vq11459,3,46800
ツツナモ ニカユ,zs10502,3,63900
ヒムスノ シキ,jq12604,2,4334
ヒムスノ シキ,oo10380,1,7700
コハ ケヤ,py12939,3,38700
コハ ケヤ,vw11888,2,7200
ユイチチ ナマ,ir12651,3,23700
ユイチチ ナマ,mf12508,3,53700
フヤ コヲツ,mr12155,2,1812
コキイト ワナシン,hw11927,3,63300
オマヤ クモフ,ff12414,1,10500
オマヤ クモフ,lr10467,2,25600
ケナ ネムエナ,ge11326,1,1557
ケナ ネムエナ,my11692,3,59400
ケナ ネムエナ,ph12233,1,3100
ミネノワ ワキカア,fy11872,3,35100
ミネノワ ワキカア,gz10290,3,4941
ミネノワ ワキカア,qj11025,3,6300
ミネノワ ワキカア,sd10338,3,18300
ミネノワ ワキカア,sl10786,1,21500
ミネノワ ワキカア,wh12927,3,60300
ミネノワ ワキカア,xa10268,2,29600
オマ ムオイン,as11986,3,5100
オマ ムオイン,fc12091,3,3915
ケネム ウクハノ,wc12123,1,1061
ケネム ウクハノ,wz12824,1,29100
セヨチノ モメムテ,bb11301,1,29200
セヨチノ モメムテ,kg10249,1,19600
セヨチノ モメムテ,wf10874,1,13700
ハク アコ,du10416,2,41800
ハク アコ,tt11288,2,54000
ハク アコ,un12272,2,34000
ハク アコ,yq12600,3,5172
ケヤスモ シナイハ,bv10935,2,46600
ケヤスモ シナイハ,dm12292,2,45800
ケヤスモ シナイハ,ib12610,2,57600
ケヤスモ シナイハ,ib12623,2,44200
ハメン ネウチホ,dw11173,1,6500
ハメン ネウチホ,gp10332,1,748
ヲムシ ケツシト,bv10415,1,10200
ヲムシ ケツシト,pj10428,2,48400
ヲムシ ケツシト,ug11910,2,7600
セヨンチ マナモテ,bc12792,1,4000
セヨンチ マナモテ,js11199,2,18600
セヨンチ マナモテ,yr11958,3,51600
キオンク ンワト,ck10480,2,28200
キオンク ンワト,fi12498,1,28100
キオンク ンワト,fl12803,2,3884
キオンク ンワト,jg11839,1,1606
モオ ミマハ,aa12496,1,9000
モオ ミマハ,bq12036,2,31400
モオ ミマハ,gq12470,2,8600
モオ ミマハ,mq12031,3,7200
モオ ミマハ,nq11292,3,46500
モオ ミマハ,wf11024,3,83100
メハイ イシソス,ec12705,1,9600
メハイ イシソス,pu12098,2,56200
メハイ イシソス,pz10159,3,66300
メハイ イシソス,xl10992,1,1279
エツムマ ナハ,ji11135,1,21800
フカエ テサアム,eg11685,2,44000
フカエ テサアム,nu12020,3,30300
チモケ ニキ,bv10079,2,4068
チモケ ニキ,eg12143,3,7800
チモケ ニキ,eu10325,1,13200
チモケ ニキ,le12286,2,54000
チモケ ニキ,pf10111,3,67800
チモケ ニキ,vy12870,3,76500
セテニ オンチミ,mt11913,1,24600
セテニ オンチミ,sv12878,3,89400
セテニ オンチミ,ty11832,1,14700
ツニ ユヨホノ,jf11693,2,10800
ツニ ユヨホノ,uq12602,3,81000
ソチ マユ,fs11007,3,31500
ソチ マユ,pu12098,3,84300
ソチ マユ,rv10764,1,25500
ソチ マユ,vv11038,2,48400
ソチ マユ,wy10838,3,73200
カヘヒハ チタ,kr11298,1,22700
カヘヒハ チタ,pc10241,2,40000
ヘネ カヨケ,gk11045,3,32700
メイヨ コカケ,ha11882,2,24200
メイヨ コカケ,nj11647,1,4200
タヌト ハナキ,dz12315,2,1408
ワハノノ トム,mx12668,1,22400
ワハノノ トム,vs12963,3,20400
ワハノノ トム,ww12037,3,25800
マト ヘユサ,jx10870,1,12100
マト ヘユサ,kf12145,2,4180
マト ヘユサ,xc12731,1,12100
マト ヘユサ,xi12271,2,13600
マト ヘユサ,yj12350,2,12400
アウエミ ヌアマセ,ba11835,2,23000
アウエミ ヌアマセ,fg11044,2,24200
アウエミ ヌアマセ,vt12970,2,45800
ヲテン サケサヘ,ch11142,1,8800
ヲテン サケサヘ,eb11559,2,4500
ヲテン サケサヘ,qe10312,2,18000
ヲテン サケサヘ,tm12571,3,21900
ヲテン サケサヘ,ud12331,2,30800
ヲテン サケサヘ,uv10790,1,14500
ヲテン サケサヘ,vv11038,3,72600
コネオ コヌテ,ao11102,1,1681
コネオ コヌテ,ax10923,3,67200
コネオ コヌテ,nc11371,2,4034
コネオ コヌテ,sv12878,2,59600
コネオ コヌテ,ur12524,3,57900
ケヘカ ユヨワン,gk11469,2,47600
ケヘカ ユヨワン,qm10352,1,7300
ケヘカ ユヨワン,vc12432,1,2600
ヤニヒ ニヘ,bx10805,2,3530
ヤニヒ ニヘ,cl12492,2,2054
ヤニヒ ニヘ,fd11926,3,40800
ヤニヒ ニヘ,jt11628,2,53000
ヤニヒ ニヘ,xi10689,1,1515
アハナツ サスア,kr10080,1,21300
アハナツ サスア,lg10643,2,40400
アハナツ サスア,lk12875,3,4908
アハナツ サスア,qp12929,1,3900
アテ ヲトユノ,mw12110,1,1968
アテ ヲトユノ,nz12823,2,58600
アテ ヲトユノ,xs10964,1,5900
ツツテ ツメ,cx10238,1,28000
ツツテ ツメ,ko11185,2,27400
ツツテ ツメ,lr12622,3,7500
ヤチツ ヲチニ,id10576,1,2317
ニハヲ ミコ,de12511,3,2718
ニハヲ ミコ,do10367,2,23400
ニハヲ ミコ,fg12114,3,86100
ニハヲ ミコ,pg11183,2,58600
ニハヲ ミコ,xm11578,3,55500
ニハヲ ミコ,zz12059,1,18500
ヘハネツ ユンメ,is10133,2,58200
ナエ ヨミ,fu10782,3,51900
ナエ ヨミ,hc12348,2,18600
ナエ ヨミ,kk11263,1,23900
ナエ ヨミ,qe10183,1,27400
ナエ ヨミ,wa10674,2,59000
モネ ウアカ,cp12696,3,4926
モネ ウアカ,dd10374,2,24000
イシテス セオ,qr10837,2,37800
イシテス セオ,vn12266,2,36600
ヌホ オメオフ,nq11292,3,46500
ヌホ オメオフ,xc12731,3,36300
スセイ ネミナ,ir12651,3,23700
スセイ ネミナ,nc12964,3,30000
スセイ ネミナ,ty11832,2,29400
ヒエミ ニノ,nv12294,2,40200
ヒエミ ニノ,ow12940,2,14000
ヒエミ ニノ,vo10946,2,4400
ミヒ ヲモマス,dq11593,1,11400
ミヒ ヲモマス,gf11306,2,41200
ミヒ ヲモマス,iq10690,3,87000
ミヒ ヲモマス,zj12157,1,4700
セツニ ミホウ,lv12879,3,83100
セツニ ミホウ,nt12264,2,34600
タヤナヨ セソオ,au10496,3,29100
タヤナヨ セソオ,ax10923,3,67200
タヤナヨ セソオ,he10304,2,3344
タヤナヨ セソオ,mt11744,1,7000
タヤナヨ セソオ,rb12575,1,1934
タヤナヨ セソオ,sh12569,2,3566
ソモ ソヌオ,be11813,2,4860
ソモ ソヌオ,ch12616,1,5500
ソモ ソヌオ,tm11960,2,3200
チフメヨ ミンオ,ig10179,1,28600
チフメヨ ミンオ,kx10134,1,4600
ヲヤヒク トフハ,nl10808,1,20000
ヲヤヒク トフハ,ue11383,2,34000
ケエ コケエノ,cp11881,3,58200
ケエ コケエノ,iv11471,1,3400
ケエ コケエノ,vf10737,3,45600
ケエ コケエノ,zf11770,3,22500
タサタ ヌウ,az11632,1,28100
タサタ ヌウ,bq10851,3,9900
タサタ ヌウ,nl11931,3,42000
セネチ マテチキ,ru11213,3,80700
セネチ マテチキ,uu10801,3,26400
ヌセニ エマノ,ko11928,3,32400
ヌセニ エマノ,wa10624,3,33900
ヌセニ エマノ,wk11683,1,2286
メナ ホサヒ,ej10279,3,24300
メナ ホサヒ,kj10354,1,17700
メナ ホサヒ,ov10845,2,8600
メナ ホサヒ,pf11240,3,56100
ニケネ マトシ,az12006,1,10300
ニケネ マトシ,oe12417,1,1358
ニケネ マトシ,pf11818,3,78300
ネツアホ ンウワ,hl12034,1,29500
ネツアホ ンウワ,kj10683,2,26600
ネツアホ ンウワ,kv12865,3,11100
ネツアホ ンウワ,nh12854,2,46400
ネツアホ ンウワ,zp10665,1,29300
ワヒ メウアヘ,df11336,2,48000
ワヒ メウアヘ,kk11263,3,71700
ムワ タコテン,kl10205,1,17900
ムワ タコテン,qv10778,3,43800
ムワ タコテン,uv10790,1,14500
フアカヌ ハコイソ,bf12203,3,40800
フアカヌ ハコイソ,on10343,2,55800
メワ スアヘタ,jw11294,2,14400
ノカヲユ ソヘ,cm10688,3,15000
ノカヲユ ソヘ,fj10828,3,62100
ノカヲユ ソヘ,wk10199,2,28600
ナヌユ アヘテ,af12008,2,56400
ナヌユ アヘテ,ap12346,1,19600
ナヌユ アヘテ,df12914,1,4000
ナヌユ アヘテ,eu10263,2,36000
ナヌユ アヘテ,sz12507,3,65400
ユメ ツヨ,fk12703,2,27600
ユメ ツヨ,ix12376,1,2000
ハテコ クソコ,nf11463,3,58500
ハテコ クソコ,zl12473,1,13300
マネツ コケアツ,dh11820,1,5700
マネツ コケアツ,ip11750,2,2842
マネツ コケアツ,oi10219,2,25000
トキヌ ウス,qi12993,1,2168
ヒエツ ヤアア,vx11416,1,4500
ヒエツ ヤアア,vy11983,1,16700
キオユウ サモコア,gr12946,3,84000
モハ ツヤコカ,uv10490,2,58400
スワ モチムク,fx12256,3,38100
スワ モチムク,lt11309,1,8200
カテカ ウムハコ,aq10191,2,24800
カテカ ウムハコ,mu10984,2,2400
カテカ ウムハコ,pg11758,1,26500
ニサ カムン,qe11068,2,18800
ニサ カムン,ug12328,1,5700
ナネイヲ ムクオ,as10596,2,10200
ナネイヲ ムクオ,nl10644,3,3159
ナネイヲ ムクオ,pf10111,3,67800
ケヘムク ニユク,ao10564,1,12300
ケヘムク ニユク,fk11008,3,19500
ケヘムク ニユク,lc11257,2,34800
ケヘムク ニユク,mn11087,2,1556
ケヘムク ニユク,pf10111,2,45200
コノノツ カサ,bs11079,2,54400
コノノツ カサ,er11939,2,4590
コノノツ カサ,kn10849,3,9900
コノノツ カサ,lj10871,2,3800
コノノツ カサ,lj10871,3,5700
コノノツ カサ,lp11630,1,10900
コノノツ カサ,yw12637,1,19800
コノノツ カサ,zz12947,1,29400
トトス オヒヘ,bu10285,2,24600
トトス オヒヘ,fe12982,1,7300
トトス オヒヘ,mq11766,2,22600
トトス オヒヘ,rr12093,2,46800
トトス オヒヘ,zv11021,2,3934
イエミ ウワフカ,us12895,1,1900
イエミ ウワフカ,yh11033,2,14400
ケンサ ヌムワア,jl11475,3,31800
ケンサ ヌムワア,pc10098,1,10200
ケンサ ヌムワア,qx11230,3,34800
ケンサ ヌムワア,up10499,1,21700
ケンサ ヌムワア,va12389,1,6900
ケンサ ヌムワア,vl12762,3,80700
ケンサ ヌムワア,wm12772,3,37200
ヌエメヤ カヌマフ,gn11564,2,23000
ヌエメヤ カヌマフ,mi10543,1,7300
ヌエメヤ カヌマフ,nq10340,3,4983
ヌエメヤ カヌマフ,pi11847,3,29100
ヌエメヤ カヌマフ,so10753,2,1214
ホテクト キヌ,im12425,3,61500
ホテクト キヌ,oy12545,3,48900
ホテクト キヌ,xn10390,1,22000
ホテクト キヌ,xo10088,2,35400
イケツム ヲシヒ,np10406,2,31800
イケツム ヲシヒ,ow12609,1,11200
イケツム ヲシヒ,qe10568,3,80100
イケツム ヲシヒ,ul10370,2,30200
イケツム ヲシヒ,uq11355,1,9500
ウヒセヘ タス,gn10478,2,22400
ウヒセヘ タス,xf12692,2,20400
カスイサ ウマ,bb11862,2,41800
カスイサ ウマ,il11001,1,2400
カスイサ ウマ,lq11397,2,1438
カスイサ ウマ,mx12066,2,50800
カスイサ ウマ,tb10441,1,9800
カスイサ ウマ,ua12429,3,58500
コテ ソンサ,jj12528,3,84300
コテ ソンサ,tm10869,1,2600
サアタテ シヌケイ,kf10412,3,34200
サアタテ シヌケイ,vz12353,3,23100
ヒホ アスマヤ,cv12902,1,17800
ヒホ アスマヤ,dm10617,1,26500
ナト オオ,cg12827,3,24900
ナト オオ,eq11373,1,2120
ナト オオ,ie12424,1,15000
ナト オオ,lc10469,3,67800
テニヒフ ナニメホ,ha12814,1,15100
テニヒフ ナニメホ,ju12822,3,28200
テニヒフ ナニメホ,my12479,3,71100
テニヒフ ナニメホ,ri11880,2,42600
ワツヨム エンイコ,ib12623,1,22100
ワツヨム エンイコ,lk12232,1,19300
ワツヨム エンイコ,rb10578,3,67800
ワツヨム エンイコ,rm11060,1,19400
イヲテ ウタツ,lw11511,3,86100
イヲテ ウタツ,vb11506,2,52400
イヲテ ウタツ,wf10214,3,67500
イヲテ ウタツ,zz12708,2,37200
ワツサ ヌノヨ,ax12289,2,34200
ワツサ ヌノヨ,bn11700,3,3600
ワツサ ヌノヨ,ff10604,3,89700
ワツサ ヌノヨ,ko11928,3,32400
ワツサ ヌノヨ,um12190,1,15800
ハコメム ツセヌ,cf11641,2,5000
ハコメム ツセヌ,el12565,2,18000
ハコメム ツセヌ,ig10512,1,12400
ハコメム ツセヌ,mb11859,2,30400
ハコメム ツセヌ,sj12983,1,25200
ハコメム ツセヌ,zt10522,3,17100
ワタ ケカキ,bx10697,3,5832
ワタ ケカキ,zd10963,2,38800
ユイソ メワ,hy11730,1,26300
ユイソ メワ,lr12139,1,16700
エトミ テオイキ,tt12769,2,7800
エトミ テオイキ,wd12954,2,11600
エトミ テオイキ,wk10199,1,14300
ヒエソ ヲチヌイ,fq12074,2,25800
ヒエソ ヲチヌイ,ik11698,1,23700
アユヒセ ノヒト,mh12078,2,36600
アユヒセ ノヒト,mn11006,1,6500
アユヒセ ノヒト,um10254,3,66300
ミユミ チオ,fa12713,3,23400
ミユミ チオ,gr12946,1,28000
ミユミ チオ,vf11319,1,11200
ケハ ニカ,yc11786,1,2800
ケハ ニカ,yj12112,1,718
ヨケフ イホ,eg12191,2,38200
ヨケフ イホ,ix11662,3,89400
ヨケフ イホ,ye11226,3,86400
ヤヨワマ ワソ,fa12974,3,10200
ヤヨワマ ワソ,qr12278,1,22500
コカキコ キオウ,hk12561,2,56800
コカキコ キオウ,ns10814,2,17000
クイサミ ハヨケモ,ax10923,1,22400
クイサミ ハヨケモ,bi10612,2,49400
アテハホ メチメ,bs11551,2,23000
アテハホ メチメ,by11773,2,3510
アテハホ メチメ,rj11663,1,2376
アテハホ メチメ,tn10713,1,14100
サヨ モハアイ,vt11485,1,21300
サチア クヌ,ar12029,1,14700
サチア クヌ,rj10232,3,51600
サチア クヌ,uk11066,1,23100
キハワ ハソワネ,ig10512,1,12400
キハワ ハソワネ,mw12110,3,5904
キハワ ハソワネ,vq12469,3,2298
キハワ ハソワネ,wt12463,3,7467
キハワ ハソワネ,xg12782,1,17000
シホ ヘモムコ,dg10368,3,6549
シホ ヘモムコ,wy12428,2,45000
ニモネ コモ,ko10117,1,9800
ニモネ コモ,px10986,2,43800
ニモネ コモ,ws11081,2,24000
ミカナ ヤツセハ,ff10991,3,80700
ミカナ ヤツセハ,ik10153,3,59700
ヤヌタフ メオミネ,hz11671,3,36000
ヤヌタフ メオミネ,td12841,2,22800
ヤヌタフ メオミネ,zv11587,2,28600
ヘアチ ツコ,ei11978,3,5796
ヘアチ ツコ,ly11337,2,30000
ヘアチ ツコ,ps10936,3,2868
ヘアチ ツコ,rr12093,3,70200
キエ メカムウ,xj10175,3,24900
クヲ サイ,bn12054,3,3198
クヲ サイ,ey12581,1,15500
クヲ サイ,ls10432,2,6200
クヲ サイ,uq11355,3,28500
トソサツ エナ,en12231,2,24400
トソサツ エナ,mq10274,2,27400
トソサツ エナ,zv11021,3,5901
ユクメフ ヒセハム,fz10128,3,28200
ユクメフ ヒセハム,jm10130,3,5322
ミニ スフ,gf11306,3,61800
ミニ スフ,tu11133,3,5589
ユワ ナカホ,mg11106,1,24900
ユワ ナカホ,qq12512,1,2246
ユワ ナカホ,qv11854,1,28400
ユワ ナカホ,wx11607,1,10200
ノヨヒ ンノオメ,ek12465,3,3900
ノヨヒ ンノオメ,kb10616,2,37800
ノヨヒ ンノオメ,nd11644,3,27900
ノヨヒ ンノオメ,ou10542,2,32000
ヌミヌヤ チサヘ,kk11263,3,71700
ヤセ トイホ,jw10484,1,1707
ヤセ トイホ,jw12154,1,23900
ヤセ トイホ,rj12514,3,51900
ヤセ トイホ,yc11786,2,5600
ヤセ トイホ,zu10022,3,74700
ステヌナ マメク,gp10009,2,14800
ステヌナ マメク,hx10328,1,4500
ナネ アフ,pa11311,1,13900
サイ セハシ,fx12684,3,66900
ヘム エチミヘ,br12753,2,4396
シネ カスホヤ,dm11330,1,17500
シネ カスホヤ,ji10481,3,9600
シネ カスホヤ,zx10344,2,27200
ワサヨア ムヘン,ah10916,3,35400
ワサヨア ムヘン,oq12064,3,45900
ワサヨア ムヘン,te11884,1,26800
エチイ ハトス,ca10500,3,5880
エチイ ハトス,gw12053,2,2722
エチイ ハトス,nl12833,3,64200
エチイ ハトス,yb12905,1,716
カチヲ モア,ee11841,1,14500
カチヲ モア,ph11912,3,76200
ヒフモ ノマモソ,bn10169,2,19400
ヒフモ ノマモソ,eq12864,1,27500
ヒフモ ノマモソ,jg11427,1,17000
ヒフモ ノマモソ,od10741,1,28100
ヒフモ ノマモソ,oy10827,2,28600
ヒフモ ノマモソ,po11002,3,23100
ヒフモ ノマモソ,pt10321,2,28000
ヒフモ ノマモソ,tr10668,3,21000
エコ アヘハ,il12843,1,27300
エコ アヘハ,td11124,2,33800
ワワヘト セエタ,ao11102,3,5043
ワワヘト セエタ,aw11499,1,23300
ワワヘト セエタ,ks10449,2,2554
ワワヘト セエタ,oy10357,1,9400
ワワヘト セエタ,si12106,3,2889
ワワヘト セエタ,vj11950,3,88800
ヘクミ スミ,jk12088,1,22100
ヘクミ スミ,kk12583,3,43200
ヘクミ スミ,yu11494,1,26800
ミスユヒ トケ,bv10935,1,23300
セシ テモワ,aw11252,3,7500
セシ テモワ,hc10728,2,4600
セシ テモワ,ho11426,2,31000
クフ ナタ,ao11102,2,3362
クフ ナタ,kx10943,3,79200
クフ ナタ,yg12977,1,25300
ソフヘ カノイ,cg10585,3,24600
ソフヘ カノイ,ds11903,1,2315
ソフヘ カノイ,gz10290,3,4941
ソフヘ カノイ,ki10699,2,26200
ソフヘ カノイ,pa11311,3,41700
ソフヘ カノイ,xi12271,1,6800
ニワ モセ,em12551,1,29000
ニワ モセ,mb11437,3,57900
ワヌクエ ハセノイ,bw11886,1,25400
ワヌクエ ハセノイ,uy10099,3,37500
ワヌクエ ハセノイ,vm11932,2,50000
スム モシ,kr10890,3,84900
スム モシ,vn11470,1,1836
ムソヌ ヘネヤ,gr11666,2,34200
ムソヌ ヘネヤ,jm10475,3,73800
ムソヌ ヘネヤ,xi10689,1,1515
ツソミニ ネウモ,ai10204,1,1853
ツソミニ ネウモ,ft10149,3,60600
ツソミニ ネウモ,oy10827,3,42900
ツソミニ ネウモ,rb10578,3,67800
ツソミニ ネウモ,zk11900,3,9300
シンメ ヤオマヤ,it11325,1,7100
シンメ ヤオマヤ,le10524,2,45200
シンメ ヤオマヤ,pu12098,2,56200
シンメ ヤオマヤ,yl10958,1,2100
ヲカ オマ,fa12329,3,73500
ヲカ オマ,kl10205,2,35800
ヲカ オマ,uc11446,1,14600
ヲカ オマ,vj11599,2,19200
ムエヨ クネア,ru10359,2,6000
ムエヨ クネア,sf11255,3,87000
イヨハ セミ,bs11079,3,81600
イヨハ セミ,cb12922,1,6900
イヨハ セミ,df12914,3,12000
イヨハ セミ,fv11293,3,2181
イヨハ セミ,kf12145,3,6270
イヨハ セミ,wi10669,3,13800
ホイフヨ ノタヤ,bm11125,3,5646
ホイフヨ ノタヤ,pr12117,2,35600
ヘセサ ノエンノ,cy12757,2,46400
ヘセサ ノエンノ,nn12336,2,4040
ヘセサ ノエンノ,zw11789,1,13200
ケママ ミマチメ,ex10519,3,13500
ケママ ミマチメ,tg11343,2,8600
ムニマホ サホエ,cx10238,2,56000
ムニマホ サホエ,ht12839,2,1548
ムニマホ サホエ,qn10158,3,1941
ムニマホ サホエ,qq10739,2,32400
サチオ ナウヒ,be11327,2,27200
サチオ ナウヒ,ck12041,2,24200
サチオ ナウヒ,mk10788,3,77100
サチオ ナウヒ,vv12236,1,5400
ニユヘ ツヲヘ,ib10957,1,27000
ニユヘ ツヲヘ,wu12219,3,49500
テンエタ ノトサ,cc10678,1,12100
テンエタ ノトサ,pu11952,1,17100
テンエタ ノトサ,wi11428,2,23400
カタウ ウアア,wr12690,1,1202
カタウ ウアア,yr12244,3,75600
ヘス ミマ,fm11724,1,1478
ヘス ミマ,ps12515,1,29500
ノホヨ クヒ,lr12207,3,42600
ノホヨ クヒ,rk11810,3,20100
ノホヨ クヒ,wv12297,1,7100
ノホヨ クヒ,yq12600,1,1724
サエ テタ,cz10269,3,49200
サエ テタ,jx10870,2,24200
サエ テタ,ov12721,2,30800
サエ テタ,vb12826,2,15200
サエ テタ,zw11789,1,13200
タム ヒマサツ,fd11926,2,27200
タム ヒマサツ,xz11633,2,5600
ヤホタ アムソア,hb10486,2,37600
ヤホタ アムソア,pt12893,3,7188
ヤホタ アムソア,vz12001,3,87600
ホノ クタムテ,hu12227,3,29400
ホノ クタムテ,lc12686,2,1838
ホノ クタムテ,ns12181,2,40600
エユネウ キキ,kg10649,3,72900
ホマノ クンケ,ad12781,2,40400
ホマノ クンケ,zk11900,1,3100
スキノキ ソコヌ,ff12414,2,21000
スキノキ ソコヌ,he11473,3,83700
トメ ケエ,rm12784,2,3014
トメ ケエ,rm12840,1,2459
トメ ケエ,td11124,1,16900
ヤワム サトヌ,ax11017,1,938
ヤワム サトヌ,ch12422,1,7900
ヤワム サトヌ,he10017,3,5556
ヲムマク ヨクヤム,kt10244,1,19300
ヲムマク ヨクヤム,nu12160,2,10200
ヲムマク ヨクヤム,uy11615,2,45200
マタワノ イニン,qz10173,2,7800
マタワノ イニン,vo10946,3,6600
マタワノ イニン,zv12402,2,27400
ヤモ ワノフ,bb10880,1,8200
ヤモ ワノフ,bb11865,3,55800
ヤモ ワノフ,dp11944,3,61800
ヤモ ワノフ,gf11179,2,8000
ヤモ ワノフ,kq10165,3,32400
ヤモ ワノフ,ns12174,2,42600
イテ メトナウ,ah10450,3,44400
イテ メトナウ,kr11091,3,17700
イテ メトナウ,xz10909,3,3984
ネモム エチエム,ls11998,1,22600
ネモム エチエム,mz11669,1,12600
チヘ ムオサ,au11573,3,41700
チヘ ムオサ,ep11658,1,2331
チヘ ムオサ,ib12610,3,86400
チヘ ムオサ,kk12583,3,43200
チヘ ムオサ,rm12784,2,3014
チヘ ムオサ,rp10776,2,27400
チヘ ムオサ,vj12295,2,7000
チヘ ムオサ,wa10624,3,33900
チヘ ムオサ,yx11667,3,48900
ヲウ アエシ,ro11702,1,22900
ヲウ アエシ,ro12836,1,23500
ヲウ アエシ,ru10359,1,3000
ヲウ アエシ,sp11351,3,3642
ヲウ アエシ,xi11531,1,2254
オモチ ユセンネ,ao10468,3,74400
オモチ ユセンネ,dz11264,3,24000
オモチ ユセンネ,ho10105,1,25200
オモチ ユセンネ,uh10400,3,37800
ハンタテ ヨア,pv11869,3,17700
ハンタテ ヨア,up11358,1,16700
ハンタテ ヨア,uy10245,2,56600
エハ カスフ,ez10595,2,11400
エハ カスフ,hw10443,3,34200
エハ カスフ,iy11030,1,1728
エハ カスフ,oh11602,1,23200
エハ カスフ,uf11521,1,4500
ユノ クミミモ,fa12329,3,73500
ユノ クミミモ,ux11058,2,52200
カナモエ ツミヨヒ,eo10246,2,57800
カナモエ ツミヨヒ,if11833,3,6432
カナモエ ツミヨヒ,vz12453,1,1600
ソウケカ ヒヤシ,fp11014,2,4536
ソウケカ ヒヤシ,mg11106,3,74700
ソウケカ ヒヤシ,pe10046,2,10400
ソウケカ ヒヤシ,qh11335,1,29500
ホス ワクツム,qg11086,2,42600
ホス ワクツム,vc12432,1,2600
ホス ワクツム,vv12619,1,17900
ホス ワクツム,yo12341,1,20500
シメメ ヒヘ,ap10266,2,53800
シメメ ヒヘ,cy12247,1,18400
ヌホヨ イヒム,kg10350,2,46600
ヌホヨ イヒム,uh10400,1,12600
ニセ ヨモホ,ap10093,3,4758
ニセ ヨモホ,de11949,1,23000
ニセ ヨモホ,fv11293,2,1454
ニセ ヨモホ,ij11237,3,18000
ニセ ヨモホ,lu11274,2,57200
ニセ ヨモホ,qw10501,1,26500
ニセ ヨモホ,ro12310,1,18500
ニセ ヨモホ,sf12912,3,5487
ニセ ヨモホ,td11124,1,16900
チメ ヨアフ,gh11993,1,1971
チメ ヨアフ,to11951,2,14400
フミメヲ シメフ,gs10510,2,27200
フミメヲ シメフ,im12801,1,26000
フミメヲ シメフ,lp12719,2,47400
フミメヲ シメフ,no12152,2,51800
フミメヲ シメフ,pf11618,2,11800
フミメヲ シメフ,wb12655,3,73500
ヨヘサ ウマ,hx10328,3,13500
ヨヘサ ウマ,hy10277,3,7200
ヨヘサ ウマ,js10840,3,4560
ヨヘサ ウマ,pi11547,3,2703
キカ エヒヌヤ,mb11859,3,45600
キカ エヒヌヤ,vy11727,2,58800
キカ エヒヌヤ,zu11313,1,1277
ケアキ カソソ,bf12203,3,40800
ケアキ カソソ,qr10837,1,18900
ケアキ カソソ,um10102,2,35600
シノハハ ヌン,ab12011,1,4200
シノハハ ヌン,gh11940,1,14900
シノハハ ヌン,iy12867,3,73200
シノハハ ヌン,nm12298,1,11600
ケト スオ,ct12388,3,54300
ケト スオ,vz12453,2,3200
ヌソ クニソ,ns12181,1,20300
フネ タメ,bm11792,1,14600
フネ タメ,em12551,1,29000
フネ タメ,ph11241,3,65100
フネ タメ,ra10922,3,14100
フネ タメ,zx10787,3,84000
ハオ キソニシ,am11375,2,49200
ハオ キソニシ,ez11238,2,22000
ハオ キソニシ,fd11613,3,80400
ハオ キソニシ,gz11722,2,18000
ハオ キソニシ,ya11484,3,83100
ホウ ムナ,qw10501,2,53000
ホウ ムナ,sg10538,1,25400
クツ ネニコ,qu12281,2,4220
クツ ネニコ,vv11038,3,72600
サトア アン,mp11366,1,15600
サトア アン,pr10961,3,52200
ムサ ユカ,ih10132,3,21300
ムサ ユカ,wb11222,1,22000
ムサ ユカ,wq12055,3,57600
ケミヲヨ ヲカ,ll11345,1,14400
ケミヲヨ ヲカ,qc12707,1,1500
アノキオ タケヒ,bs11991,2,46600
アノキオ タケヒ,gf11577,3,66000
アノキオ タケヒ,pg11758,3,79500
アノキオ タケヒ,wr12690,2,2404
アノキオ タケヒ,xq11304,2,55000
ムマヒ キヲ,ky12641,1,3300
ヘツワ ユケカ,bu11004,1,2800
ヘツワ ユケカ,fo11013,3,17400
ヘツワ ユケカ,mp12957,3,52200
ヘツワ ユケカ,np10372,3,15900
ヘツワ ユケカ,rp11101,2,28000
ヘツワ ユケカ,zw10834,1,16100
ウム テマミ,le10317,3,1836
ウム テマミ,tr10222,2,33400
オテ サウ,bg11918,1,3600
オテ サウ,fv11387,1,13900
カアコワ ハヲ,td11051,1,29100
ヘコニサ マテコユ,as11986,3,5100
ヘコニサ マテコユ,cc11153,1,20900
ヘコニサ マテコユ,ki10699,1,13100
ヘコニサ マテコユ,nt12347,2,53600
ヘコニサ マテコユ,yn10930,1,1059
カサセ ハヘクヨ,nb11772,1,27300
カサセ ハヘクヨ,xn10390,1,22000
スセタ ソモシク,qa12379,2,2754
スセタ ソモシク,wn11562,3,47400
